phone_id,battery_power,clock_speed,m_dep,mobile_wt,n_cores,ram,talk_time,price_range,sc_h,sc_w,blue,dual_sim,four_g,touch_screen,wifi,int_memory,total_camera,total_pixels,has_front_camera,has_primary_camera
1,-0.901565815056051,2.2,0.6,188,2,0.3914278267561402,19,1,9,7.0,0,0,0,0,1,-1.3795577520947002,3,15120,1,1
2,-0.4945074643816867,0.5,0.7,136,3,0.4671107928022451,7,2,17,3.0,1,1,1,1,0,1.155998593367005,6,1799140,0,1
3,-1.5360310655484959,0.5,0.9,145,5,0.44126782878650195,9,2,11,2.0,1,1,1,1,0,0.49454911194221224,8,2167308,1,1
4,-1.417779477643094,2.5,0.8,131,6,0.5944796868798363,11,2,16,8.0,1,0,0,0,0,-1.214195381738502,9,2171776,0,1
5,1.3247477341629583,1.2,0.6,141,2,-0.6589040678837063,15,1,8,2.0,1,0,1,1,0,0.6599114822984103,27,1464096,1,1
6,1.411162356093829,0.5,0.7,164,1,-0.976403340077122,10,1,17,1.0,0,1,0,0,0,-0.5527459003137094,10,1660616,1,1
7,1.3247477341629583,1.7,0.8,139,8,1.0107360001334134,18,3,13,8.0,0,0,1,0,1,-1.214195381738502,14,387858,1,1
8,-0.901565815056051,2.2,0.6,188,2,0.3914278267561402,19,1,9,7.0,0,0,0,0,1,-1.3795577520947002,3,15120,1,1
9,-0.4945074643816867,0.5,0.7,136,3,0.4671107928022451,7,2,17,3.0,1,1,1,1,0,1.155998593367005,6,1799140,0,1
10,-1.5360310655484959,0.5,0.9,145,5,0.44126782878650195,9,2,11,2.0,1,1,1,1,0,0.49454911194221224,8,2167308,1,1
11,-1.417779477643094,2.5,0.8,131,6,0.5944796868798363,11,2,16,8.0,1,0,0,0,0,-1.214195381738502,9,2171776,0,1
12,1.3247477341629583,1.2,0.6,141,2,-0.6589040678837063,15,1,8,2.0,1,0,1,1,0,0.6599114822984103,27,1464096,1,1
13,1.411162356093829,0.5,0.7,164,1,-0.976403340077122,10,1,17,1.0,0,1,0,0,0,-0.5527459003137094,10,1660616,1,1
14,1.3247477341629583,1.7,0.8,139,8,1.0107360001334134,18,3,13,8.0,0,0,1,0,1,-1.214195381738502,14,387858,1,1
15,1.6271989109210057,0.5,0.8,187,4,-1.3151307612834697,5,0,16,3.0,0,1,0,1,1,-0.442504320076244,0,588288,0,0
16,0.46969779084697516,0.5,0.7,174,7,-0.9468685240591299,20,0,17,1.0,1,0,0,0,0,1.155998593367005,14,322696,0,1
17,-1.6588307914502596,0.6,0.1,93,5,-1.4877248423886114,12,0,19,10.0,1,1,1,0,0,-1.2693161718572348,17,1391688,1,1
18,-1.06757285192325,2.9,0.1,182,5,1.6808071385416108,7,3,5,2.0,1,1,0,0,0,-1.2693161718572348,1,216752,0,1
19,0.6402529657105357,2.2,0.5,177,8,1.5700515784741402,13,3,14,9.0,1,0,1,1,1,0.05358279099235046,23,151755,1,1
20,1.3111033201738735,2.8,0.6,159,4,-0.5933736948437861,2,1,18,6.330049261083744,0,0,0,0,0,0.05358279099235046,19,454036,1,1
21,-0.9902545059851025,2.1,1.0,198,4,0.5123359798297956,4,2,7,1.0,1,0,0,0,1,-0.828349850907373,18,495360,1,1
22,1.4270808390810947,0.5,0.7,185,1,-1.6169396624673271,3,0,14,9.0,0,0,1,0,1,1.1008778032482722,30,200428,1,1
23,-1.0539284379341651,1.0,0.7,159,2,-1.4369618773576873,11,0,17,15.0,0,0,0,1,1,0.7701530625358758,19,1606768,1,1
24,-0.9106620910487743,0.5,0.1,196,8,1.3190056423212067,19,3,10,9.0,0,0,1,0,1,-1.048833011382304,5,1820400,1,1
