phone_id,battery_power,clock_speed,m_dep,mobile_wt,n_cores,ram,talk_time,price_range,sc_h,sc_w,blue,dual_sim,four_g,touch_screen,wifi,int_memory,total_camera,total_pixels,screen_ratio,memory_per_core,battery_talk_ratio
1,842,2.2,0.6,188,2,2549,19,1,9,7,0,0,0,0,1,7,3,15120,1.2857142857142858,1274.5,44.31578947368421
2,1021,0.5,0.7,136,3,2631,7,2,17,3,1,1,1,1,0,53,6,1799140,5.666666666666667,877.0,145.85714285714286
3,563,0.5,0.9,145,5,2603,9,2,11,2,1,1,1,1,0,41,8,2167308,5.5,520.6,62.55555555555556
4,615,2.5,0.8,131,6,2769,11,2,16,8,1,0,0,0,0,10,9,2171776,2.0,461.5,55.90909090909091
5,1821,1.2,0.6,141,2,1411,15,1,8,2,1,0,1,1,0,44,27,1464096,4.0,705.5,121.4
6,1859,0.5,0.7,164,1,1067,10,1,17,1,0,1,0,0,0,22,10,1660616,17.0,1067.0,185.9
7,1821,1.7,0.8,139,8,3220,18,3,13,8,0,0,1,0,1,10,14,387858,1.625,402.5,101.16666666666667
8,842,2.2,0.6,188,2,2549,19,1,9,7,0,0,0,0,1,7,3,15120,1.2857142857142858,1274.5,44.31578947368421
9,1021,0.5,0.7,136,3,2631,7,2,17,3,1,1,1,1,0,53,6,1799140,5.666666666666667,877.0,145.85714285714286
10,563,0.5,0.9,145,5,2603,9,2,11,2,1,1,1,1,0,41,8,2167308,5.5,520.6,62.55555555555556
11,615,2.5,0.8,131,6,2769,11,2,16,8,1,0,0,0,0,10,9,2171776,2.0,461.5,55.90909090909091
12,1821,1.2,0.6,141,2,1411,15,1,8,2,1,0,1,1,0,44,27,1464096,4.0,705.5,121.4
13,1859,0.5,0.7,164,1,1067,10,1,17,1,0,1,0,0,0,22,10,1660616,17.0,1067.0,185.9
14,1821,1.7,0.8,139,8,3220,18,3,13,8,0,0,1,0,1,10,14,387858,1.625,402.5,101.16666666666667
15,1954,0.5,0.8,187,4,700,5,0,16,3,0,1,0,1,1,24,0,588288,5.333333333333333,175.0,390.8
16,1445,0.5,0.7,174,7,1099,20,0,17,1,1,0,0,0,0,53,14,322696,17.0,157.0,72.25
17,509,0.6,0.1,93,5,513,12,0,19,10,1,1,1,0,0,9,17,1391688,1.9,102.6,42.416666666666664
18,769,2.9,0.1,182,5,3946,7,3,5,2,1,1,0,0,0,9,1,216752,2.5,789.2,109.85714285714286
19,1520,2.2,0.5,177,8,3826,13,3,14,9,1,0,1,1,1,33,23,151755,1.5555555555555556,478.25,116.92307692307692
20,1815,2.8,0.6,159,4,1482,2,1,18,0,0,0,0,0,0,33,19,454036,inf,370.5,907.5
21,803,2.1,1.0,198,4,2680,4,2,7,1,1,0,0,0,1,17,18,495360,7.0,670.0,200.75
22,1866,0.5,0.7,185,1,373,3,0,14,9,0,0,1,0,1,52,30,200428,1.5555555555555556,373.0,622.0
23,775,1.0,0.7,159,2,568,11,0,17,15,0,0,0,1,1,46,19,1606768,1.1333333333333333,284.0,70.45454545454545
24,838,0.5,0.1,196,8,3554,19,3,10,9,0,0,1,0,1,13,5,1820400,1.1111111111111112,444.25,44.10526315789474
25,595,0.9,0.1,121,3,3752,18,3,10,2,0,1,1,1,0,23,24,357210,5.0,1250.6666666666667,33.05555555555556
26,1131,0.5,0.6,101,5,1835,16,1,19,13,1,1,0,1,0,49,29,577724,1.4615384615384615,367.0,70.6875
27,682,0.5,1.0,121,4,2337,18,1,11,1,1,0,0,1,1,19,15,959728,11.0,584.25,37.888888888888886
28,772,1.1,0.8,81,7,2819,3,3,17,15,0,1,0,1,0,39,26,2436156,1.1333333333333333,402.7142857142857,257.3333333333333
29,1709,2.1,1.0,156,2,3283,15,3,17,1,1,0,0,0,0,13,3,1348990,17.0,1641.5,113.93333333333334
30,1949,2.6,0.3,199,4,1433,20,1,11,5,0,1,0,0,1,47,11,334554,2.2,358.25,97.45
31,1602,2.8,0.7,114,3,1037,20,0,8,7,1,1,1,0,0,38,24,367208,1.1428571428571428,345.6666666666667,80.1
32,503,1.2,0.4,111,3,2583,12,1,11,0,0,1,1,0,0,8,18,250245,inf,861.0,41.916666666666664
33,961,1.4,0.6,114,8,2782,7,2,18,9,1,1,1,1,1,57,3,417294,2.0,347.75,137.28571428571428
34,519,1.6,0.3,132,4,3763,4,3,16,1,1,1,1,0,1,51,26,354750,16.0,940.75,129.75
35,956,0.5,1.0,143,7,3286,12,3,17,8,0,0,1,1,0,41,7,549325,2.125,469.42857142857144,79.66666666666667
36,1453,1.6,0.3,96,2,2373,10,2,10,1,0,1,1,1,1,52,30,245157,10.0,1186.5,145.3
37,851,0.5,0.4,200,5,478,10,0,12,7,0,0,0,0,1,21,10,1478973,1.7142857142857142,95.6,85.1
38,1579,0.5,0.2,88,7,3532,12,3,17,11,1,1,0,0,1,5,9,2361562,1.5454545454545454,504.57142857142856,131.58333333333334
39,1568,0.5,1.0,150,8,508,6,0,5,1,1,0,0,1,1,33,36,270102,5.0,63.5,261.3333333333333
40,1319,0.9,0.9,107,1,2227,3,1,18,5,1,0,1,1,1,41,21,97920,3.6,2227.0,439.6666666666667
41,1310,2.2,0.6,100,4,3845,12,3,7,0,1,1,1,1,0,51,0,341582,inf,961.25,109.16666666666667
42,644,2.7,0.7,157,8,1262,15,0,12,1,1,0,0,0,0,22,3,273991,12.0,157.75,42.93333333333333
43,725,1.3,0.4,160,8,1326,15,1,10,4,0,1,0,0,0,60,33,1416366,2.5,165.75,48.333333333333336
44,589,2.3,0.6,160,4,2113,2,1,13,7,1,1,0,0,1,61,11,349635,1.8571428571428572,528.25,294.5
45,1725,1.6,0.5,119,2,3429,4,3,6,5,1,1,1,1,0,6,24,795963,1.2,1714.5,431.25
46,790,2.0,0.3,87,6,3169,2,2,6,1,0,1,1,0,1,11,33,253310,6.0,528.1666666666666,395.0
47,560,0.5,0.3,159,2,2150,11,2,18,12,0,1,0,1,0,50,35,2335624,1.5,1075.0,50.90909090909091
48,1347,2.9,0.6,132,1,2484,11,2,18,2,0,0,0,0,1,44,19,419678,9.0,2484.0,122.45454545454545
49,1646,2.3,0.2,185,2,3339,19,3,18,10,1,0,1,1,0,41,18,3332700,1.8,1669.5,86.63157894736842
50,1253,0.5,0.2,152,2,1878,4,1,15,0,1,1,1,1,0,5,24,489090,inf,939.0,313.25
51,1656,1.0,0.1,166,3,1629,14,1,15,12,0,0,1,1,0,34,12,1281280,1.25,543.0,118.28571428571429
52,1195,2.8,0.8,110,2,504,12,0,9,3,1,0,1,1,0,20,15,2610160,3.0,252.0,99.58333333333333
53,1514,2.9,0.2,118,3,1152,20,1,8,3,0,0,0,1,1,27,1,336660,2.6666666666666665,384.0,75.7
54,1723,1.1,1.0,164,8,3587,3,3,10,5,1,1,0,0,0,42,15,361782,2.0,448.375,574.3333333333334
55,1054,1.8,0.8,196,7,2296,12,1,16,12,1,1,1,0,1,40,13,20898,1.3333333333333333,328.0,87.83333333333333
56,578,2.6,0.2,162,8,1270,5,0,15,3,1,1,1,0,1,57,10,1468825,5.0,158.75,115.6
57,596,2.1,0.8,111,8,3238,10,3,16,13,0,1,0,0,0,64,24,1640790,1.2307692307692308,404.75,59.6
58,1547,3.0,0.7,198,3,2059,15,2,5,0,1,1,1,0,1,14,21,1908944,inf,686.3333333333334,103.13333333333334
59,1760,1.4,0.8,127,8,2053,16,2,19,12,0,1,0,1,0,63,24,1911306,1.5833333333333333,256.625,110.0
60,1654,1.5,0.3,109,2,3112,10,3,12,5,1,1,1,1,0,43,0,343434,2.4,1556.0,165.4
61,1457,1.9,0.3,102,3,1440,12,1,17,8,0,1,1,0,1,16,11,1303731,2.125,480.0,121.41666666666667
62,1073,0.5,0.5,145,7,2908,18,2,6,0,1,1,0,1,0,51,0,554760,inf,415.42857142857144,59.611111111111114
63,1936,2.1,0.6,104,3,2552,13,2,14,7,0,1,1,0,0,46,30,691012,2.0,850.6666666666666,148.92307692307693
64,823,2.7,0.5,148,8,905,17,0,14,11,1,1,0,1,1,60,32,1191078,1.2727272727272727,113.125,48.411764705882355
65,987,1.3,0.4,107,3,3963,20,3,9,4,0,1,1,0,1,61,9,476420,2.25,1321.0,49.35
66,1757,0.5,0.5,180,6,2056,4,1,7,5,0,0,0,0,0,49,22,188945,1.4,342.6666666666667,439.25
67,1063,1.4,1.0,128,5,2910,9,2,15,13,0,1,1,1,1,48,6,86741,1.1538461538461537,582.0,118.11111111111111
68,1484,3.0,0.6,134,3,1457,20,1,14,4,0,0,0,1,0,12,8,887604,3.5,485.6666666666667,74.2
69,799,2.3,0.8,144,8,431,6,0,15,6,1,0,1,1,1,63,7,351975,2.5,53.875,133.16666666666666
70,1156,1.2,0.8,159,2,470,15,0,7,0,1,1,1,1,0,50,0,176134,inf,235.0,77.06666666666666
71,1720,2.0,0.5,168,2,2148,5,2,14,2,0,0,1,1,1,55,33,1018809,7.0,1074.0,344.0
72,702,2.6,0.7,141,3,2955,19,2,10,4,0,1,1,0,0,9,5,791280,2.5,985.0,36.94736842105263
73,616,1.9,0.8,81,3,3366,13,3,18,8,0,1,1,1,0,44,30,1053318,2.25,1122.0,47.38461538461539
74,1358,0.5,0.3,155,4,3068,4,3,9,4,1,0,1,1,0,36,25,2907770,2.25,767.0,339.5
75,1866,1.4,0.5,182,3,3834,8,3,16,11,0,0,0,0,0,30,0,192348,1.4545454545454546,1278.0,233.25
76,1242,1.1,0.6,165,2,1050,4,0,11,1,0,1,0,0,1,10,1,562275,11.0,525.0,310.5
77,1166,1.5,0.8,80,4,3993,7,3,7,1,0,1,1,1,0,43,1,123615,7.0,998.25,166.57142857142858
