specobjid,plate,mjd,petroFlux_z,petroFlux_i,petroFlux_r,run,petroFlux_g,petroR50_z,petroR50_u,fiberid,class
1.41e+19,12525,58932,15.04326,16.00107,14.00038,756,14.41659,0.5493365,0.7389101,327,QSO
1.41e+19,12533,58931,334.971,296.7811,211.9246,756,125.9279,2.683143,2.73125,796,GALAXY
1.41e+19,12533,58931,117.6624,112.2206,100.8012,756,73.19593,0.5794218,0.7325906,732,STAR
1.41e+19,12533,58931,82.33119,93.81571,64.20922,756,50.99516,0.6437147,0.7376041,738,QSO
1.41e+19,12545,58930,171.4881,153.4475,97.35838,1239,54.10723,1.310326,1.045625,541,QSO
1.41e+19,12531,58932,121.8971,111.95,97.97795,2126,60.95584,0.7575415,0.9914765,507,STAR
1.41e+19,12547,58928,21.16421,27.1584,22.52066,1239,22.16012,0.7339846,0.7228924,403,QSO
1.41e+19,12545,58930,212.9382,191.4425,155.3361,756,93.11307,0.7536355,1.10329,119,STAR
1.41e+19,12525,58932,37.31271,28.5564,27.66552,1239,22.61291,0.7970978,0.7534856,723,QSO
1.41e+19,12531,58932,133.8973,130.4073,117.7491,756,89.31693,0.7469492,0.7457124,3,STAR
1.41e+19,12545,58930,36.92923,39.75616,42.23515,756,34.12517,0.7008525,0.964958,60,QSO
1.41e+19,12545,58930,89.48972,54.92069,52.37239,756,41.47869,0.8216169,0.8349962,966,QSO
1.41e+19,12545,58930,20.7739,17.46009,16.54889,756,17.54572,0.7130616,0.8754591,962,QSO
1.41e+19,12531,58932,1840.034,1461.31,1064.155,1907,525.7901,2.773507,4.468599,654,STAR
1.41e+19,12531,58932,79.50198,82.03851,72.69888,1907,54.0825,0.6842635,0.7279899,939,STAR
1.41e+19,12545,58930,36.34136,44.25536,43.64886,756,35.15053,0.6134763,0.9364137,518,QSO
1.41e+19,12545,58930,40.96643,61.43764,86.26826,1239,138.6259,0.7028637,0.7766764,509,STAR
1.41e+19,12547,58928,1286.145,979.0057,643.5472,1462,265.0218,4.019602,6.640013,243,GALAXY
1.41e+19,12547,58928,75.0402,77.79546,62.63155,1907,60.96029,0.792015,0.8954189,99,QSO
1.41e+19,12533,58931,762.9356,617.6171,389.7673,756,167.8916,2.19002,3.804557,573,GALAXY
1.41e+19,12531,58932,29.84032,25.43554,19.37462,1907,17.95688,0.706061,0.7702985,656,QSO
1.41e+19,12527,58930,23.37674,29.3369,29.80573,1907,25.60103,0.6688048,0.8355398,518,QSO
1.41e+19,12531,58932,241.8673,232.891,207.2019,2125,149.7334,0.7173089,0.8915301,959,STAR
